"modis_date","calendar_date","band","tile","proc_date","pixel","data"
"A2013209","2013-07-28","250m_16_days_EVI","h11v04",2015267154840,1,3005
"A2013225","2013-08-13","250m_16_days_EVI","h11v04",2015267214357,1,6333
"A2013241","2013-08-29","250m_16_days_EVI","h11v04",2015268074439,1,6314
"A2013257","2013-09-14","250m_16_days_EVI","h11v04",2015268075800,1,4716
"A2013273","2013-09-30","250m_16_days_EVI","h11v04",2015269192046,1,2121
"A2013289","2013-10-16","250m_16_days_EVI","h11v04",2015269222833,1,1942
"A2013305","2013-11-01","250m_16_days_EVI","h11v04",2015270191924,1,1403
"A2013321","2013-11-17","250m_16_days_EVI","h11v04",2015271104054,1,1720
"A2013337","2013-12-03","250m_16_days_EVI","h11v04",2015271135036,1,887
"A2013353","2013-12-19","250m_16_days_EVI","h11v04",2018226105954,1,362
"A2014001","2014-01-01","250m_16_days_EVI","h11v04",2015272062355,1,2295
"A2014017","2014-01-17","250m_16_days_EVI","h11v04",2015273232616,1,656
"A2014033","2014-02-02","250m_16_days_EVI","h11v04",2015274230731,1,386
"A2014049","2014-02-18","250m_16_days_EVI","h11v04",2015274230726,1,399
"A2014065","2014-03-06","250m_16_days_EVI","h11v04",2015276174440,1,51
"A2014081","2014-03-22","250m_16_days_EVI","h11v04",2015276220536,1,102
"A2014097","2014-04-07","250m_16_days_EVI","h11v04",2015278233627,1,143
"A2014113","2014-04-23","250m_16_days_EVI","h11v04",2015281100829,1,1729
"A2014129","2014-05-09","250m_16_days_EVI","h11v04",2015281110309,1,2528
"A2014145","2014-05-25","250m_16_days_EVI","h11v04",2015287234316,1,4636
"A2014161","2014-06-10","250m_16_days_EVI","h11v04",2015288065433,1,7550
"A2014177","2014-06-26","250m_16_days_EVI","h11v04",2015288071425,1,6008
"A2014193","2014-07-12","250m_16_days_EVI","h11v04",2015289002823,1,7131
"A2014209","2014-07-28","250m_16_days_EVI","h11v04",2015289031737,1,6210
"A2014225","2014-08-13","250m_16_days_EVI","h11v04",2015289161029,1,6734
"A2014241","2014-08-29","250m_16_days_EVI","h11v04",2015289182939,1,5646
"A2014257","2014-09-14","250m_16_days_EVI","h11v04",2015291062734,1,6045
"A2014273","2014-09-30","250m_16_days_EVI","h11v04",2015291111950,1,2192
"A2014289","2014-10-16","250m_16_days_EVI","h11v04",2015291191524,1,1923
"A2014305","2014-11-01","250m_16_days_EVI","h11v04",2015292062245,1,1456
"A2014321","2014-11-17","250m_16_days_EVI","h11v04",2015292071545,1,743
"A2014337","2014-12-03","250m_16_days_EVI","h11v04",2015294144755,1,1152
"A2014353","2014-12-19","250m_16_days_EVI","h11v04",2018226110138,1,424
"A2015001","2015-01-01","250m_16_days_EVI","h11v04",2015295100909,1,1707
"A2015017","2015-01-17","250m_16_days_EVI","h11v04",2015295120431,1,1385
"A2015033","2015-02-02","250m_16_days_EVI","h11v04",2015296122948,1,302
"A2015049","2015-02-18","250m_16_days_EVI","h11v04",2015296153210,1,371
"A2015065","2015-03-06","250m_16_days_EVI","h11v04",2015298001549,1,1584
"A2015081","2015-03-22","250m_16_days_EVI","h11v04",2015298190830,1,1719
"A2015097","2015-04-07","250m_16_days_EVI","h11v04",2015299010156,1,1887
"A2015113","2015-04-23","250m_16_days_EVI","h11v04",2015299023700,1,1998
"A2015129","2015-05-09","250m_16_days_EVI","h11v04",2015299151955,1,3611
"A2015145","2015-05-25","250m_16_days_EVI","h11v04",2015300234328,1,6094
"A2015161","2015-06-10","250m_16_days_EVI","h11v04",2015301072608,1,6194
"A2015177","2015-06-26","250m_16_days_EVI","h11v04",2015301215531,1,6781
"A2015193","2015-07-12","250m_16_days_EVI","h11v04",2015304005512,1,6720
"A2015209","2015-07-28","250m_16_days_EVI","h11v04",2015304024703,1,7095
"A2015225","2015-08-13","250m_16_days_EVI","h11v04",2015305194221,1,6058
"A2015241","2015-08-29","250m_16_days_EVI","h11v04",2015305210814,1,5758
"A2015257","2015-09-14","250m_16_days_EVI","h11v04",2015306150806,1,4872
"A2015273","2015-09-30","250m_16_days_EVI","h11v04",2015307054834,1,4464
"A2015289","2015-10-16","250m_16_days_EVI","h11v04",2015317212026,1,2320
"A2015305","2015-11-01","250m_16_days_EVI","h11v04",2015335131706,1,1749
"A2015321","2015-11-17","250m_16_days_EVI","h11v04",2015343140123,1,523
"A2015337","2015-12-03","250m_16_days_EVI","h11v04",2016004171645,1,1737
"A2015353","2015-12-19","250m_16_days_EVI","h11v04",2018222150607,1,656
"A2016001","2016-01-01","250m_16_days_EVI","h11v04",2016029064312,1,245
"A2016017","2016-01-17","250m_16_days_EVI","h11v04",2016035114857,1,853
"A2016033","2016-02-02","250m_16_days_EVI","h11v04",2016050030454,1,782
"A2016049","2016-02-18","250m_16_days_EVI","h11v04",2016109133552,1,211
"A2016065","2016-03-05","250m_16_days_EVI","h11v04",2016111112523,1,1315
"A2016081","2016-03-21","250m_16_days_EVI","h11v04",2017097233246,1,1853
"A2016097","2016-04-06","250m_16_days_EVI","h11v04",2016114042609,1,1979
"A2016113","2016-04-22","250m_16_days_EVI","h11v04",2016130115828,1,2060
"A2016129","2016-05-08","250m_16_days_EVI","h11v04",2016147113046,1,5230
"A2016145","2016-05-24","250m_16_days_EVI","h11v04",2016166150108,1,6237
"A2016161","2016-06-09","250m_16_days_EVI","h11v04",2016184000518,1,6409
"A2016177","2016-06-25","250m_16_days_EVI","h11v04",2016200095826,1,6163
"A2016193","2016-07-11","250m_16_days_EVI","h11v04",2016215085231,1,7343
"A2016209","2016-07-27","250m_16_days_EVI","h11v04",2016229083157,1,7235
"A2016225","2016-08-12","250m_16_days_EVI","h11v04",2016243085447,1,6502
"A2016241","2016-08-28","250m_16_days_EVI","h11v04",2016263150714,1,5801
"A2016257","2016-09-13","250m_16_days_EVI","h11v04",2016274150354,1,5357
"A2016273","2016-09-29","250m_16_days_EVI","h11v04",2016292070846,1,4043
"A2016289","2016-10-15","250m_16_days_EVI","h11v04",2016306035303,1,2003
"A2016305","2016-10-31","250m_16_days_EVI","h11v04",2016322045202,1,1808
"A2016321","2016-11-16","250m_16_days_EVI","h11v04",2016340093021,1,1534
"A2016337","2016-12-02","250m_16_days_EVI","h11v04",2016357040924,1,637
"A2016353","2016-12-18","250m_16_days_EVI","h11v04",2017010085953,1,2398
"A2017001","2017-01-01","250m_16_days_EVI","h11v04",2017020220142,1,1328
"A2017017","2017-01-17","250m_16_days_EVI","h11v04",2017034073412,1,584
"A2017033","2017-02-02","250m_16_days_EVI","h11v04",2017053061232,1,1173
"A2017049","2017-02-18","250m_16_days_EVI","h11v04",2017066032245,1,592
"A2017065","2017-03-06","250m_16_days_EVI","h11v04",2017082120829,1,1425
"A2017081","2017-03-22","250m_16_days_EVI","h11v04",2017111085126,1,1853
"A2017097","2017-04-07","250m_16_days_EVI","h11v04",2017116142556,1,2012
"A2017113","2017-04-23","250m_16_days_EVI","h11v04",2017131014228,1,2023
"A2017129","2017-05-09","250m_16_days_EVI","h11v04",2017145234029,1,2223
"A2017145","2017-05-25","250m_16_days_EVI","h11v04",2017164072219,1,6117
"A2017161","2017-06-10","250m_16_days_EVI","h11v04",2017178081300,1,6565
"A2017177","2017-06-26","250m_16_days_EVI","h11v04",2017194070239,1,6563
"A2017193","2017-07-12","250m_16_days_EVI","h11v04",2017209235857,1,6250
"A2017209","2017-07-28","250m_16_days_EVI","h11v04",2017234111745,1,6883
"A2017225","2017-08-13","250m_16_days_EVI","h11v04",2017250141708,1,5527
"A2017241","2017-08-29","250m_16_days_EVI","h11v04",2017262085758,1,5035
"A2017257","2017-09-14","250m_16_days_EVI","h11v04",2017276132813,1,4564
"A2017273","2017-09-30","250m_16_days_EVI","h11v04",2017290090403,1,2797
"A2017289","2017-10-16","250m_16_days_EVI","h11v04",2017310142025,1,2442
"A2017305","2017-11-01","250m_16_days_EVI","h11v04",2017325113705,1,1140
"A2017321","2017-11-17","250m_16_days_EVI","h11v04",2017337222123,1,1621
"A2017337","2017-12-03","250m_16_days_EVI","h11v04",2017353223307,1,799
"A2017353","2017-12-19","250m_16_days_EVI","h11v04",2018004224441,1,1059
"A2018001","2018-01-01","250m_16_days_EVI","h11v04",2018017225010,1,579
"A2018017","2018-01-17","250m_16_days_EVI","h11v04",2018033223544,1,229
"A2018033","2018-02-02","250m_16_days_EVI","h11v04",2018049223551,1,354
"A2018049","2018-02-18","250m_16_days_EVI","h11v04",2018066165957,1,87
"A2018065","2018-03-06","250m_16_days_EVI","h11v04",2018082151715,1,210
"A2018081","2018-03-22","250m_16_days_EVI","h11v04",2018097234555,1,299
"A2018097","2018-04-07","250m_16_days_EVI","h11v04",2018113234041,1,-45
"A2018113","2018-04-23","250m_16_days_EVI","h11v04",2018130000851,1,2196
"A2018129","2018-05-09","250m_16_days_EVI","h11v04",2018151110709,1,2488
"A2018145","2018-05-25","250m_16_days_EVI","h11v04",2018162001100,1,6678
"A2018161","2018-06-10","250m_16_days_EVI","h11v04",2018177235718,1,7991
"A2018177","2018-06-26","250m_16_days_EVI","h11v04",2018197102836,1,7147
"A2018193","2018-07-12","250m_16_days_EVI","h11v04",2018210001420,1,6165
"A2018209","2018-07-28","250m_16_days_EVI","h11v04",2018227125238,1,6758
"A2018225","2018-08-13","250m_16_days_EVI","h11v04",2018241235456,1,7335
"A2018241","2018-08-29","250m_16_days_EVI","h11v04",2018257235704,1,5871
"A2018257","2018-09-14","250m_16_days_EVI","h11v04",2018282125820,1,5089
"A2018273","2018-09-30","250m_16_days_EVI","h11v04",2018295111355,1,3061
"A2018289","2018-10-16","250m_16_days_EVI","h11v04",2018313120024,1,2384
"A2018305","2018-11-01","250m_16_days_EVI","h11v04",2018321224540,1,1357
"A2018321","2018-11-17","250m_16_days_EVI","h11v04",2018338084156,1,630
"A2018337","2018-12-03","250m_16_days_EVI","h11v04",2018365153505,1,1335
"A2018353","2018-12-19","250m_16_days_EVI","h11v04",2019009042846,1,1544
