"modis_date","calendar_date","band","tile","proc_date","pixel","data"
"A2017193","2017-07-12","250m_16_days_NDVI","h11v05",2017209234600,1,8810
"A2017209","2017-07-28","250m_16_days_NDVI","h11v05",2017234112459,1,8903
"A2017225","2017-08-13","250m_16_days_NDVI","h11v05",2017250141703,1,8986
"A2017241","2017-08-29","250m_16_days_NDVI","h11v05",2017262085553,1,8772
"A2017257","2017-09-14","250m_16_days_NDVI","h11v05",2017276132721,1,8747
"A2017273","2017-09-30","250m_16_days_NDVI","h11v05",2017290090529,1,8483
"A2017289","2017-10-16","250m_16_days_NDVI","h11v05",2017310142924,1,8200
"A2017305","2017-11-01","250m_16_days_NDVI","h11v05",2017325113657,1,6204
"A2017321","2017-11-17","250m_16_days_NDVI","h11v05",2017337222202,1,5388
"A2017337","2017-12-03","250m_16_days_NDVI","h11v05",2017353222803,1,5517
"A2017353","2017-12-19","250m_16_days_NDVI","h11v05",2018004224903,1,4766
"A2018001","2018-01-01","250m_16_days_NDVI","h11v05",2018017224513,1,4794
"A2018017","2018-01-17","250m_16_days_NDVI","h11v05",2018033223353,1,5430
"A2018033","2018-02-02","250m_16_days_NDVI","h11v05",2018049223308,1,4602
"A2018049","2018-02-18","250m_16_days_NDVI","h11v05",2018066165607,1,4960
"A2018065","2018-03-06","250m_16_days_NDVI","h11v05",2018082151627,1,4565
"A2018081","2018-03-22","250m_16_days_NDVI","h11v05",2018097234128,1,4571
"A2018097","2018-04-07","250m_16_days_NDVI","h11v05",2018113233959,1,6619
"A2018113","2018-04-23","250m_16_days_NDVI","h11v05",2018129234653,1,8935
"A2018129","2018-05-09","250m_16_days_NDVI","h11v05",2018151110419,1,8942
"A2018145","2018-05-25","250m_16_days_NDVI","h11v05",2018162001543,1,9198
"A2018161","2018-06-10","250m_16_days_NDVI","h11v05",2018177235504,1,8866
"A2018177","2018-06-26","250m_16_days_NDVI","h11v05",2018197102829,1,8872
"A2018193","2018-07-12","250m_16_days_NDVI","h11v05",2018210001554,1,9216
"A2018209","2018-07-28","250m_16_days_NDVI","h11v05",2018227125540,1,9039
"A2018225","2018-08-13","250m_16_days_NDVI","h11v05",2018242000414,1,8871
"A2018241","2018-08-29","250m_16_days_NDVI","h11v05",2018257235305,1,9040
"A2018257","2018-09-14","250m_16_days_NDVI","h11v05",2018282125245,1,8681
"A2018273","2018-09-30","250m_16_days_NDVI","h11v05",2018295111743,1,8611
"A2018289","2018-10-16","250m_16_days_NDVI","h11v05",2018313115934,1,7683
"A2018305","2018-11-01","250m_16_days_NDVI","h11v05",2018321224857,1,6804
"A2018321","2018-11-17","250m_16_days_NDVI","h11v05",2018338084128,1,5669
"A2018337","2018-12-03","250m_16_days_NDVI","h11v05",2018365153649,1,5408
"A2018353","2018-12-19","250m_16_days_NDVI","h11v05",2019009042552,1,5133
