"modis_date","calendar_date","band","tile","proc_date","pixel","data"
"A2011273","2011-09-30","250m_16_days_EVI","h12v04",2015222122519,1,3913
"A2011289","2011-10-16","250m_16_days_EVI","h12v04",2015229095419,1,4090
"A2011305","2011-11-01","250m_16_days_EVI","h12v04",2015229102734,1,2889
"A2011321","2011-11-17","250m_16_days_EVI","h12v04",2015229115555,1,2651
"A2011337","2011-12-03","250m_16_days_EVI","h12v04",2015229234130,1,3249
"A2011353","2011-12-19","250m_16_days_EVI","h12v04",2018226092800,1,2557
"A2012001","2012-01-01","250m_16_days_EVI","h12v04",2015236165943,1,2502
"A2012017","2012-01-17","250m_16_days_EVI","h12v04",2015237085216,1,3630
"A2012033","2012-02-02","250m_16_days_EVI","h12v04",2015237195536,1,2724
"A2012049","2012-02-18","250m_16_days_EVI","h12v04",2015238135008,1,3042
"A2012065","2012-03-05","250m_16_days_EVI","h12v04",2015238152940,1,2698
"A2012081","2012-03-21","250m_16_days_EVI","h12v04",2015239230140,1,2933
"A2012097","2012-04-06","250m_16_days_EVI","h12v04",2015240113931,1,3179
"A2012113","2012-04-22","250m_16_days_EVI","h12v04",2015240185706,1,3385
"A2012129","2012-05-08","250m_16_days_EVI","h12v04",2015246095544,1,4048
"A2012145","2012-05-24","250m_16_days_EVI","h12v04",2015246100016,1,6941
"A2012161","2012-06-09","250m_16_days_EVI","h12v04",2015247051416,1,6475
"A2012177","2012-06-25","250m_16_days_EVI","h12v04",2015247082337,1,6601
"A2012193","2012-07-11","250m_16_days_EVI","h12v04",2015247171231,1,7080
"A2012209","2012-07-27","250m_16_days_EVI","h12v04",2015248102209,1,5910
"A2012225","2012-08-12","250m_16_days_EVI","h12v04",2015248131049,1,5888
"A2012241","2012-08-28","250m_16_days_EVI","h12v04",2015249120623,1,5418
"A2012257","2012-09-13","250m_16_days_EVI","h12v04",2015249145016,1,5057
"A2012273","2012-09-29","250m_16_days_EVI","h12v04",2015249215627,1,4630
"A2012289","2012-10-15","250m_16_days_EVI","h12v04",2015251140738,1,3233
"A2012305","2012-10-31","250m_16_days_EVI","h12v04",2015251162409,1,2528
"A2012321","2012-11-16","250m_16_days_EVI","h12v04",2015252201839,1,2410
"A2012337","2012-12-02","250m_16_days_EVI","h12v04",2015252231106,1,2632
"A2012353","2012-12-18","250m_16_days_EVI","h12v04",2018226105807,1,2750
